B,G,R,Label
-0.5627524553004418,-0.6285447713345689,-0.18726098944278732,True
-0.578811884860021,-0.6456564388690572,-0.20025704256975324,True
-0.5948713144196001,-0.6627681064035457,-0.21325309569671916,True
-0.6269901735387583,-0.6969914414725225,-0.239245201950651,True
-0.6430496030983375,-0.7141031090070108,-0.2522412550776169,True
-0.5306335961812836,-0.5943214362655921,-0.1612688831888555,True
-0.5145741666217045,-0.5772097687311037,-0.14827283006188957,True
-0.49851473706212535,-0.5600981011966153,-0.13527677693492365,True
-0.5145741666217045,-0.6285447713345689,-0.1612688831888555,True
-0.49851473706212535,-0.6114331038000805,-0.14827283006188957,True
-0.5306335961812836,-0.6456564388690572,-0.1742649363158214,True
-0.4663958779429671,-0.5772097687311037,-0.12228072380795774,True
-0.41821758926422975,-0.5258747661276386,-0.08329256442705997,True
-0.4021581597046506,-0.5087630985931502,-0.07029651130009405,True
-0.4824553075025462,-0.5943214362655921,-0.13527677693492365,True
-0.450336448383388,-0.5600981011966153,-0.1092846706809918,True
-0.43427701882380887,-0.542986433662127,-0.09628861755402589,True
-0.49851473706212535,-0.5772097687311037,-0.12228072380795774,True
-0.4824553075025462,-0.5600981011966153,-0.1092846706809918,True
-0.49851473706212535,-0.542986433662127,-0.09628861755402589,True
-0.4824553075025462,-0.5258747661276386,-0.08329256442705997,True
-0.4663958779429671,-0.5087630985931502,-0.07029651130009405,True
-0.41821758926422975,-0.45742809598968504,-0.03130835191919631,True
-0.43427701882380887,-0.47453976352417343,-0.044304405046162225,True
-0.450336448383388,-0.4916514310586618,-0.05730045817312814,True
-0.5145741666217045,-0.5600981011966153,-0.1092846706809918,True
-0.5306335961812836,-0.5772097687311037,-0.12228072380795774,True
-0.578811884860021,-0.5772097687311037,-0.13527677693492365,True
-0.5466930257408628,-0.542986433662127,-0.1092846706809918,True
-0.4663958779429671,-0.6114331038000805,-0.1092846706809918,True
-0.49851473706212535,-0.6285447713345689,-0.12228072380795774,True
-0.5466930257408628,-0.6456564388690572,-0.12228072380795774,True
-0.6430496030983375,-0.6285447713345689,-0.12228072380795774,True
-0.7715250395749704,-0.679879773938034,-0.13527677693492365,True
0.6898830503467299,0.9799519769073394,1.1123443232538044,True
0.5614076138700969,0.9286169743038742,1.0603601107459408,True
0.5935264729892551,0.9970636444418277,1.1123443232538044,True
0.7541207685850464,1.0826219821142697,1.2033166951425658,True
0.8825962050616794,1.1681803197867116,1.2812930139043615,True
0.8986556346212585,1.1510686522522233,1.2682969607773955,True
0.9468339232999958,1.1681803197867116,1.3072851201582931,True
0.9468339232999958,1.1510686522522233,1.3852614389200888,True
0.9789527824191541,1.1681803197867116,1.4242495983009864,True
1.0592499302170497,1.2537386574591536,1.4632377576818842,True
1.1395470780149453,1.3564086626660838,1.502225917062782,True
1.2519630849319991,1.3906319977350605,1.5282180233167137,True
1.332260232729895,1.459078667873014,1.5282180233167137,True
1.364379091849053,1.4761903354075026,1.5282180233167137,True
1.3964979509682114,1.493302002941991,1.502225917062782,True
1.5410328170044234,1.5788603406144328,1.5282180233167137,True
1.5570922465640027,1.5959720081489213,1.502225917062782,True
1.5731516761235818,1.5959720081489213,1.4892298639358161,True
1.6213299648023192,1.630195343217898,1.4632377576818842,True
1.7016271126002147,1.630195343217898,1.4762338108088502,True
1.733745971719373,1.681530345821363,1.4762338108088502,True
1.7819242603981102,1.71575368089034,1.4892298639358161,True
1.7979836899576895,1.7499770159593167,1.5282180233167137,True
