ChildId   GiftId
0, 61
1, 61
2, 19
3, 19
4, 292
5, 292
6, 679
7, 679
8, 338
9, 338
10, 749
11, 749
12, 945
13, 945
14, 366
15, 366
16, 912
17, 912
18, 485
19, 485
20, 918
21, 918
22, 542
23, 542
24, 563
25, 563
26, 963
27, 963
28, 697
29, 697
30, 642
31, 642
32, 316
33, 316
34, 563
35, 563
36, 763
37, 763
38, 886
39, 886
40, 415
41, 415
42, 178
43, 178
44, 377
45, 377
46, 322
47, 322
48, 798
49, 798
50, 854
51, 854
52, 746
53, 746
54, 687
55, 687
56, 585
57, 585
58, 47
59, 47
60, 7
61, 7
62, 210
63, 210
64, 29
65, 29
66, 6
67, 6
68, 653
69, 653
70, 841
71, 841
72, 353
73, 353
74, 971
75, 971
76, 362
77, 362
78, 911
79, 911
80, 290
81, 290
82, 907
83, 907
84, 945
85, 945
86, 204
87, 204
88, 666
89, 666
90, 840
91, 840
92, 15
93, 15
94, 747
95, 747
96, 271
97, 271
98, 97
99, 97
100, 499
101, 499
102, 406
103, 406
104, 620
105, 620
106, 701
107, 701
108, 35
109, 35
110, 744
111, 744
112, 988
113, 988
114, 223
115, 223
116, 686
117, 686
118, 872
119, 872
120, 365
121, 365
122, 399
123, 399
124, 111
125, 111
126, 522
127, 522
128, 995
129, 995
130, 85
131, 85
132, 852
133, 852
134, 48
135, 48
136, 638
137, 638
138, 880
139, 880
140, 712
141, 712
142, 897
143, 897
144, 562
145, 562
146, 945
147, 945
148, 796
149, 796
150, 699
151, 699
152, 307
153, 307
154, 862
155, 862
156, 165
157, 165
158, 474
159, 474
160, 645
161, 645
162, 445
163, 445
164, 419
165, 419
166, 117
167, 117
168, 127
169, 127
170, 290
171, 290
172, 459
173, 459
174, 92
175, 92
176, 568
177, 568
178, 119
179, 119
180, 522
181, 522
182, 704
183, 704
184, 399
185, 399
186, 136
187, 136
188, 63
189, 63
190, 369
191, 369
192, 911
193, 911
194, 735
195, 735
196, 309
197, 309
198, 776
199, 776
200, 943
201, 943
202, 744
203, 744
204, 203
205, 203
206, 293
207, 293
208, 422
209, 422
210, 262
211, 262
212, 210
213, 210
214, 940
215, 940
216, 624
217, 624
218, 203
219, 203
220, 850
221, 850
222, 454
223, 454
224, 526
225, 526
226, 169
227, 169
228, 560
229, 560
230, 801
231, 801
232, 427
233, 427
234, 58
235, 58
236, 327
237, 327
238, 497
239, 497
240, 197
241, 197
242, 381
243, 381
244, 567
245, 567
246, 611
247, 611
248, 510
249, 510
250, 402
251, 402
252, 342
253, 342
254, 594
255, 594
256, 736
257, 736
258, 185
259, 185
260, 517
261, 517
262, 254
263, 254
264, 966
265, 966
266, 125
267, 125
268, 237
269, 237
270, 582
271, 582
272, 107
273, 107
274, 283
275, 283
276, 46
277, 46
278, 852
279, 852
280, 724
281, 724
282, 195
283, 195
284, 82
285, 82
286, 120
287, 120
288, 922
289, 922
290, 623
291, 623
292, 210
293, 210
294, 743
295, 743
296, 562
297, 562
298, 974
299, 974
300, 395
301, 395
302, 650
303, 650
304, 682
305, 682
306, 71
307, 71
308, 221
309, 221
310, 500
311, 500
312, 37
313, 37
